t,x,xdot,theta,thetadot,u,theta_ref,x_hat,theta_hat
0,0,0,0.0872665,0,4.41168,0.0011119,0.011119,0.0871217
0.01,0.000422156,0.0843635,0.0865115,-0.150785,4.30278,0.0011119,0.00341674,0.0863957
0.02,0.0016752,0.166193,0.0842755,-0.296303,3.45348,0.0011119,-0.0124263,0.0805724
0.03,0.0036605,0.230838,0.0807554,-0.407719,3.37598,0.0011119,0.0186782,0.0786541
0.04,0.00628374,0.293791,0.076136,-0.516206,2.96137,0.0011119,0.00450888,0.0745293
0.05,0.0094947,0.348394,0.070512,-0.608732,4.31017,-0.0038881,-0.00804304,0.0833642
0.06,0.013386,0.429842,0.0636906,-0.755654,2.96199,-0.00399798,0.0244001,0.0751605
0.07,0.0179569,0.484343,0.055664,-0.849884,-1.8345,-0.00399798,0.0142275,0.0418591
0.08,0.0225947,0.443317,0.0476422,-0.75497,2.30715,-0.00399798,0.0266177,0.0611866
0.09,0.027238,0.485347,0.0397309,-0.827551,-0.969204,-0.00399798,0.0257511,0.038117
0.1,0.0319751,0.462157,0.0317385,-0.771351,0.0681024,0.00100202,0.0515518,0.0374209
0.11,0.036586,0.460069,0.0240887,-0.758974,1.31796,0.00600202,0.0385077,0.0399688
0.12,0.0413023,0.483213,0.0163027,-0.798508,-1.77523,0.011002,0.0566926,0.0155018
0.13,0.0459421,0.444841,0.00872936,-0.716625,-3.13848,0.0124262,0.0477785,-0.00095113
0.14,0.0500646,0.379753,0.00223329,-0.583079,-2.08654,0.0124262,0.0554341,-0.00218761
0.15,0.0536441,0.336227,-0.00315126,-0.494208,-2.01609,0.00956645,0.045372,-0.00653907
0.16,0.0567976,0.294534,-0.00767205,-0.410283,-2.25589,0.00956645,0.0475142,-0.0129543
0.17,0.0595122,0.248444,-0.0113154,-0.318683,-3.26367,0.00956645,0.0545513,-0.0243095
0.18,0.0616672,0.182628,-0.0138504,-0.188643,0.378562,0.00956645,0.0599519,-0.00564244
0.19,0.0635297,0.189893,-0.0158202,-0.205372,-0.845549,0.00956645,0.0718989,-0.0133979
0.2,0.065343,0.17278,-0.0177152,-0.173766,0.751296,0.0111749,0.0545469,-0.00474173
0.21,0.0671452,0.187676,-0.0196164,-0.206527,-2.68112,0.0111749,0.0712229,-0.0266698
0.22,0.0687539,0.13411,-0.0211623,-0.102878,-1.02414,0.0111749,0.0521887,-0.0198596
0.23,0.0699939,0.113921,-0.0220084,-0.0664441,-1.68366,0.0111749,0.0791138,-0.0255673
0.24,0.0709669,0.0807118,-0.0223614,-0.00427304,-3.42609,0.0111749,0.071417,-0.0393258
0.25,0.0714348,0.0129282,-0.0217485,0.126698,2.59226,0.0154521,0.0741616,-0.00511486
0.26,0.0718272,0.0654926,-0.0210301,0.0171623,1.41947,0.0154521,0.0939051,-0.00832147
0.27,0.0726267,0.0943721,-0.021168,-0.0446596,-2.56977,0.0154521,0.0672565,-0.0325543
0.28,0.073316,0.043545,-0.0211266,0.0527965,-0.0392999,0.0154521,0.0831594,-0.0194949
0.29,0.073751,0.043439,-0.0206191,0.048737,0.359804,0.0154521,0.0661041,-0.0164723
0.3,0.0742246,0.0512718,-0.0202309,0.0289362,-0.49238,0.0140085,0.0737707,-0.0207594
0.31,0.0746912,0.042051,-0.0198697,0.0433131,-1.26729,0.0140085,0.0844226,-0.0262696
0.32,0.0749883,0.0174044,-0.0192103,0.0885244,0.0192987,0.0140085,0.0738241,-0.0191462
0.33,0.075168,0.018515,-0.0183563,0.0823182,0.135001,0.0140085,0.0708414,-0.0177611
0.34,0.0753701,0.0218925,-0.0175861,0.0717687,0.570289,0.0140085,0.0940419,-0.0141422
0.35,0.0756491,0.0339035,-0.0170068,0.044158,-2.22603,0.0126845,0.0729503,-0.0310608
0.36,0.0757687,-0.0099463,-0.0161442,0.128275,0.1379,0.0126845,0.0753064,-0.0182062
0.37,0.0756868,-0.00646015,-0.014914,0.117822,-0.108727,0.0126845,0.0860499,-0.0189304
0.38,0.0756147,-0.00796061,-0.0137372,0.117595,-0.344509,0.0126845,0.0847825,-0.02005
0.39,0.0755039,-0.0142043,-0.0125141,0.12707,-1.43015,0.0126845,0.07904,-0.0272347
0.4,0.0752222,-0.0421217,-0.0109785,0.180042,-0.411412,0.00894768,0.0623055,-0.020759
0.41,0.0747634,-0.0496396,-0.00911639,0.19244,0.742414,0.00894768,0.0759594,-0.0126687
0.42,0.0743444,-0.0341773,-0.00735843,0.15928,0.434515,0.00894768,0.0908268,-0.0126581
0.43,0.0740486,-0.025004,-0.00586697,0.139108,-1.29945,0.00894768,0.0792089,-0.02284
0.44,0.0736709,-0.0505254,-0.00422859,0.188568,2.11149,0.00894768,0.0672234,-0.00144447
0.45,0.0733788,-0.0079409,-0.00277569,0.102208,2.76008,0.0139477,0.0867981,0.00507131
0.46,0.0735759,0.047311,-0.00231029,-0.00894182,1.6845,0.0150262,0.0760518,0.00156158
0.47,0.0742167,0.0808109,-0.00273677,-0.0762727,0.697398,0.0150262,0.0804328,-0.00311886
0.48,0.0750931,0.0944679,-0.00363756,-0.103885,3.1572,0.0150262,0.0772949,0.0135065
0.49,0.0763515,0.15716,-0.00530519,-0.229528,-1.52359,0.0150262,0.0713993,-0.013853
0.5,0.0777682,0.126228,-0.00729291,-0.168201,-0.122714,0.0100262,0.0688837,-0.00636329
0.51,0.0790167,0.123474,-0.00895196,-0.163693,0.240009,0.00919128,0.0673595,-0.00434652
0.52,0.0802742,0.128034,-0.0106408,-0.174127,-1.48675,0.00919128,0.083764,-0.0158632
0.53,0.0814051,0.0981911,-0.0120914,-0.116164,-2.5666,0.00919128,0.10114,-0.0256247
0.54,0.0821309,0.0470149,-0.0127515,-0.0160353,2.64493,0.00919128,0.0764579,0.00524118
0.55,0.0828666,0.100075,-0.0134546,-0.124447,-0.90146,0.0141913,0.105114,-0.0157941
0.56,0.0837776,0.0821555,-0.0145312,-0.0909737,0.575414,0.018469,0.0748359,-0.0091993
0.57,0.0846575,0.0938253,-0.0155704,-0.116885,0.117741,0.018469,0.0690478,-0.0120017
0.58,0.0856084,0.0963464,-0.0167779,-0.124664,-2.10969,0.018469,0.0919514,-0.0273082
0.59,0.0863622,0.0544722,-0.0176205,-0.0440113,-1.10503,0.018469,0.0653186,-0.0243166
0.6,0.0867989,0.032879,-0.0178613,-0.00422918,-0.4989,0.013469,0.0628033,-0.0204149
